Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
97;97;2019-01-01T11:01:37.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;14,0;38,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
98;98;2019-01-01T11:01:38.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;15,0;37,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
99;99;2019-01-01T11:01:39.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;16,0;36,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
100;100;2019-01-01T11:01:40.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;17,0;35,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
101;101;2019-01-01T11:01:41.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;18,0;34,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
102;102;2019-01-01T11:01:42.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;19,0;33,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
103;103;2019-01-01T11:01:43.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;20,0;32,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
104;104;2019-01-01T11:01:44.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;21,0;31,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
105;105;2019-01-01T11:01:45.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;22,0;30,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
106;106;2019-01-01T11:01:46.0000000+01:00;10;red;standing;80;False;2;0;0;0;False;0;7.0;7.0;True;2;1.0;50.0;23,0;29,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
107;107;2019-01-01T11:01:47.0000000+01:00;10;red;standing;60;False;2;0;0;0;False;0;7.0;7.0;True;2;1.0;50.0;24,0;28,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
108;108;2019-01-01T11:01:48.0000000+01:00;10;red;standing;60;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
109;109;2019-01-01T11:01:49.0000000+01:00;10;red;standing;40;False;2;0;0;1;False;0;7.0;7.0;True;2;1.0;50.0;26,0;26,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
110;110;2019-01-01T11:01:50.0000000+01:00;10;red;standing;20;False;2;0;0;1;False;0;7.0;7.0;True;1;1.0;50.0;25,0;27,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
111;111;2019-01-01T11:01:51.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;1;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
112;112;2019-01-01T11:01:52.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
113;113;2019-01-01T11:01:53.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;3,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
114;114;2019-01-01T11:01:54.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;4,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
